аэропОрты аэропортЫ
бАнты бантЫ
бОроду бородУ
бухгАлтеров бухгалтерОв
вероисповЕдание вероисповедАние
водопровОд водопрОвод
газопровОд газопрОвод
граждАнство грАжданство
дефИс дЕфис
дешевИзна дешевизнА
диспансЕр диспАнсер
договорЁнность договОренность
докумЕнт докУмент
досУг дОсуг
еретИк ерЕтик
жалюзИ жАлюзи
знАчимость значИмость
Иксы иксЫ
каталОг катАлог
квартАл квАртал
киломЕтр килОметр
кОнусов конусОв
корЫсть кОрысть
крАны кранЫ
кремЕнь крЕмень
лЕкторов лектОров
лОктя локтЯ
лыжнЯ лЫжня
мЕстностей местностЕй
намЕрение намерЕние
нарОст нАрост
нЕдруг недрУг
недУг нЕдуг
некролОг некрОлог
нЕнависть ненАвисть
нефтепровОд нефтепрОвод
новостЕй нОвостей
нОгтя ногтЯ
возвращения возвращЕния
Отрочество отрОчество
партЕр пАртер
портфЕль пОртфель
пОручни порУчни
придАное прИданое
призЫв прИзыв
свЁкла свеклА
сирОты сиротЫ
созЫв сОзыв
сосредотОчение сосредоточЕние
срЕдства средствА
стАтуя статУя
столЯр стОляр
тамОжня тАможня
тОрты тортЫ
тУфля туфлЯ
цемЕнт цЕмент
цЕнтнер центнЕр
цепОчка цЕпочка
шАрфы шарфЫ
шофЁр шОфер
экспЕрт Эксперт
вернА вЕрна
знАчимый  значИмый
красИвее красивЕе
красИвейший красивЕйший
кУхонный кухОнный
ловкА лОвка
мозаИчный мозАичный
оптОвый Оптовый
прозорлИвый прозОрливый
прозорлИва прозОрлива
слИвовый сливОвый
бралА брАла
бралАсь брАлась
взялА взЯла
взялАсь взЯлась
влилАсь влИлась
ворвалАсь ворвАлась
воспринЯть воспрИнять
воссоздалА воссоздАла
вручИт врУчит
гналА гнАла
гналАсь гнАлась
добралА добрАла
добралАсь добрАлась
дождалАсь дождАлась
дозвонИтся дозвОнится
дозИровать дозировАть
ждалА ждАла
жилОсь жИлось
закУпорить закупОрить
занЯть зАнять
заперлА запЕрла
запломбировАть запломбИровать
защемИт защЕмит
звалА звАла
звонИт звОнит
кАшлянуть кашлянУть
клАла клалА
клЕить клеИть
крАлась кралАсь
кровоточИть кровотОчить
лгалА лгАла
лилА лИла
лилАсь лИлась
навралА наврАла
наделИт надЕлит
надорвалАсь надорвАлась
назвалАсь назвАлась
накренИтся накрЕнится
налилА налИла
нарвалА нарвАла
начАть нАчать
обзвонИт обзвОнит
облегчИть облЕгчить
облилАсь облИлась
обнялАсь обнЯлась
обогналА обогнАла
ободралА ободрАла
ободрИть обОдрить
ободрИться обОдриться
обострИть обОстрить
одолжИть одОлжить
озлОбить озлобИть
оклЕить оклеИть
окружИт окрУжит
опОшлить опошлИть
освЕдомиться осведомИться
отбылА отбЫла
отдалА отдАла
откУпорить откупОрить
отозвалА отозвАла
отозвалАсь отозвАлась
перезвонИт перезвОнит
перелилА перелИла
плодоносИть плодонОсить
пломбировАть пломбИровать
повторИт повтОрит
позвалА позвАла
позвонИт позвОнит
полилА полИла
положИть полОжить
понЯть пОнять
послАла послалА
прибЫть прИбыть
принЯть прИнять
рвалА рвАла
сверлИт свЕрлит
снялА снЯла
совралА соврАла
создалА создАла
сорвалА сорвАла
сорИт сОрит
убралА убрАла
углубИть углУбить
укрепИт укрЕпит
чЕрпать черпАть
щемИт щЕмит
щЁлкать щелкАть
довезЁнный дОвезенный
зАгнутый загнУтый
зАнятый занЯтый
зАпертый запЕртый
заселЁнный засЕленный
кормЯщий кОрмящий
кровоточАщий кровотОчащий
нажИвший нАживший
налИвший нАливший
нанЯвшийся нАнявшийся
начАвший нАчавший
нАчатый начАтый
низведЁнный низвЕденный
облегчЁнный облЕгченный
ободрЁнный обОдренный
обострЁнный обОстренный
отключЁнный отклЮченный
повторЁнный повтОренный
поделЁнный подЕленный
понЯвший пОнявший
прИнятый принЯтый
приручЁнный прирУченный
прожИвший прОживший
снятА снЯта
сОгнутый согнУтый
углублЁнный углУбленный
закУпорив закупОрив
начАв нАчав
начАвшись нАчавшись
отдАв Отдав
поднЯв пОдняв
понЯв пОняв
прибЫв прИбыв
создАв сОздав
вОвремя воврЕмя
дОверху довЕрху
донЕльзя дОнельзя
дОнизу донИзу
дОсуха досУха
зАсветло засвЕтло
зАтемно затЕмно
красИвее красивЕе
надОлго нАдолго
ненадОлго ненАдолго
